file_name	dataset	slot	azul_value	our_value	recommendation	azul_in_vocab
IGVFFI0018BZIP.bam	AnVIL_IGVF_Mouse_R1	data_modality	single-nucleus ATAC-seq || single-nucleus RNA sequencing assay	not_classified	take_azul	no
IGVFFI0018BZIP.bam	AnVIL_IGVF_Mouse_R1	reference_assembly	GRCm39	not_classified	take_azul	no
LIN28B-BGRSDLV02-42_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
RYBP-BGRSLV06-36_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
IGVFFI2580STXM.bam	AnVIL_IGVF_Mouse_R1	data_modality	single-nucleus ATAC-seq || single-nucleus RNA sequencing assay	not_classified	take_azul	no
IGVFFI2580STXM.bam	AnVIL_IGVF_Mouse_R1	reference_assembly	GRCm39	not_classified	take_azul	no
ZXDC-BGRSLV08-61_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
GTF3C4-BGRSDLV02-36dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
TTF2-BGRSLV02-39_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
DDX59-BGRSLV02-24_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
RBBP6-BGRSLV06-20_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
CISD2-BGRSLV03-14_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
NT-BGRSLV08-1_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
ZCCHC24-BGRSLV08-10_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
DDX59-BGRSDLV04-12dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
DDX59-BGRSDLV04-9_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
APEX2-BGRSDLV02-8dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
MBNL2-BGRSLV06-5_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
PHF7-BGRSDLV02-52dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
