entry_id	md5sum	file_name	dataset	dimension	published_value	inferred_value	recommendation	published_in_vocabulary
0030ffed-9de7-4a3e-8c59-8f82b8dbefc4	8063944273a24ec2fa508beb9a6166a5	TTF2-BGRSLV02-39_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
d6d7f0d0-c1b5-4ac2-8f70-cce0da9e792b	cbdcba2064bc0fea7bfe75a3d2487c60	IGVFFI0018BZIP.bam	AnVIL_IGVF_Mouse_R1	data_modality	single-nucleus ATAC-seq || single-nucleus RNA sequencing assay	not_classified	keep	no
d6d7f0d0-c1b5-4ac2-8f70-cce0da9e792b	cbdcba2064bc0fea7bfe75a3d2487c60	IGVFFI0018BZIP.bam	AnVIL_IGVF_Mouse_R1	reference_assembly	GRCm39	not_classified	keep	no
02e752ca-f42f-4ecb-9a08-471575945135	7aaf5dbe3185093be5c147930fa56b1a	NT-BGRSLV08-1_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
0159bb4d-fa28-4c65-a339-e917901492cb	290f9236f56cd034f7b631f3f8db38bc	LIN28B-BGRSDLV02-42_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
0632378d-61be-4f2e-bd2c-e36166fcbbf1	ed720b3e3e297e78068822ef03da5df6	DDX59-BGRSDLV04-9_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
05492a85-66f3-45be-8739-f3dfbb98436d	3971b7e8daeaa0f542f156f19de98047	PHF7-BGRSDLV02-52dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
00112a5e-b5f0-4b38-ad9a-aa254879299b	c23843148f0b4b81a6ff03ecc559cb62	GTF3C4-BGRSDLV02-36dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
463c4044-a957-4ee1-b15a-df6fb4a3270c	db9f4823aaaa72eaffa584cb60117992	IGVFFI2580STXM.bam	AnVIL_IGVF_Mouse_R1	data_modality	single-nucleus ATAC-seq || single-nucleus RNA sequencing assay	not_classified	keep	no
463c4044-a957-4ee1-b15a-df6fb4a3270c	db9f4823aaaa72eaffa584cb60117992	IGVFFI2580STXM.bam	AnVIL_IGVF_Mouse_R1	reference_assembly	GRCm39	not_classified	keep	no
