files.file_name	datasets.title	files.data_modality	files.reference_genome	ollama_model	response_time
08_10_21_R941_HG01993_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	125.75
m64043_211217_180919-bc1011.5mc.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	112.52
m64136_200906_012331.ccs.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	115.99
m54329U_220827_143814-bc2050.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	146.38
m54329U_210626_074001.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	87.04
HG01358_aligned_GRCh38_winnowmap.sorted.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	147.8
NT-BG293LV04-2_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_293T	genomic	GRCh38	llama3.2	125.57
TOB2-BG293LV03-19_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_293T	genomic	GRCh38	llama3.2	159.61
m64043_211222_184851-bc1021.5mc.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	147.06
PCBP1-BG293LV05-33_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_293T	genomic	GRCh38	llama3.2	121.89
m64136_200827_191603.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	208.7
m84046_230707_202610_s3.hifi_reads.bc2060.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	158.07
m84091_231120_185935_s2.fail_reads.bc1010.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	121.75
m84011_220902_175841_s1.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	180.13
HG01243.f1_assembly_v2.hap1.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	136.51
08_10_21_R941_HG01099_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	unknown	llama3.2	125.21
r64076_20220914_213111_A01.reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	124.73
m64330e_220819_173115_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	122.64
CTCF-BGRSDLV02-21_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	152.73
r54329U_20211208_003612_B01.reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	1146.84
m84081_231222_141231_s4.hifi_reads.bc2027.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	129.98
SEC23B-BGRSLV06-38_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	131.85
RBM5-BGRSDLV02-56dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	unknown	llama3.2	133.32
m84081_231117_211338_s4.fail_reads.bc2081.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	645.44
08_03_21_R941_HG04157_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	hg19	llama3.2	106.78
m64136_210429_180938_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	141.84
m84081_230628_194051_s3.hifi_reads.bc1018.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	104.66
m64043_210604_175624.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	161.81
RYBP-BGRSLV06-35_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	unknown	llama3.2	119.98
HG01358.CHM13.bam	ANVIL_HPRC	transcriptomic	T2T-CHM13	llama3.2	115.67
HG01123_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	132.56
m64043_200206_173947.ccs.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	110.64
m84081_231124_024327_s3.fail_reads.default.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	115.47
m64136_210428_005505.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	133.98
LUC7L-BG293LV06-103B_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_293T	genomic	GRCh38	llama3.2	101.59
m84081_230721_192906_s4.fail_reads.bc2025.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	96.91
m64043_210707_032602.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	212.9
m84046_230727_225904_s1.fail_reads.bc2089.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	126.12
12_08_21_R941_HG02523_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	91.0
HG01928.GRCh38_no_alt.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	123.19
m64043_211114_112934_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	109.36
ZC3HAV1-BG293LV06-36_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_293T	genomic	GRCh38	llama3.2	115.62
08_10_21_R941_HG01993_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	129.19
08_10_21_R941_HG02647_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	159.89
m84046_230707_192442_s1.fail_reads.bc2062.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	213.75
m54329U_200610_234222.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	134.33
NT-BGRSLV08-1_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	141.04
m64011_190901_095311.hifi_reads.CpG.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	98.03
HG01243.hifiasm_mat.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	1045.98
08_03_21_R941_HG01960_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	225.91
m64043_211222_184851-bc1008.5mc.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	124.9
r64076_20220927_212043_C01.reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	114.6
m64043_210205_190424.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	168.36
HG02148_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	unknown	llama3.2	116.38
