files.file_name	files.data_modality	files.reference_genome	files.determination_data_modality	files.confidence_data_modality	ollama_model	response_time
m84081_230628_194051_s3.hifi_reads.bc1018.bam	genomic	GRCh38	logic	1.0	llama3.2	0.26
IRF2BP1-BGRSLV04-12_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	0.5	llama3.2	0.3
RBBP6-BGRSLV06-19_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.32
07_20_21_R941_HG02602_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	genomic	hg19	logic	1.0	llama3.2	0.32
PPP1CA-BG293LV06-57_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.27
LUC7L-BG293LV06-104B_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.28
TPD52L2-BG293LV05-70_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.25
PRPF40A-BG293LV06-108B_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.27
HG006vCHM13_20200921_wm_ONT.sort.bam	genomic	T2T-CHM13	logic	1.0	llama3.2	0.23
07_20_21_R941_HG02602_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	genomic	GRCh38	logic	1.0	llama3.2	0.3
SMNDC1-BG293LV06-91B_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	0.999	llama3.2	0.3
PRRC2B-BG293LV06-39_Aligned.sortedByCoord.out.bam	genomic	unknown	logic	1.0	llama3.2	0.25
HG002vGRCh38_wm_PBCCS.sort.bam	genomic	GRCh38	logic	1.0	llama3.2	0.25
BL-BGRSLV04-71_Aligned.sortedByCoord.out.bam	genomic	hg19	logic	1.0	llama3.2	0.29
MBNL2-BG293LV05-62_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.26
YTHDF1-BG293LV06-63B_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	0.99	llama3.2	0.26
CSTF2T-BG293LV06-97B_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.26
1_11_23_R941_HG01175_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	genomic	GRCh38	logic	1.0	llama3.2	0.32
m54329U_200215_021808.hifi_reads.bam	genomic	GRCh38	logic	1.0	llama3.2	0.28
RNF113A-BGRSDLV03-29_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.31
SRP68-BG293LV06-54_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.25
m64330e_220902_175209_q9_forDC.bam	genomic	GRCh38	logic	1.0	llama3.2	0.24
ZFP36L1-BGRSLV03-52_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.26
HG_HG02723_Guppy_6.1.2_pass.bam	genomic	GRCh38	logic	0.99	llama3.2	0.23
HG003vCHM13_20200921_wm_PBCCS.sort.bam	genomic	T2T-CHM13	logic	1.0	llama3.2	0.24
HNRNPH2-BG293LV05-41_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.33
m84091_230905_205913_s4.fail_reads.unassigned.bam	genomic	GRCh38	logic	1.0	llama3.2	0.27
HG02723vCHM13_20200921_wm_PBCCS.sort.bam	genomic	T2T-CHM13	logic	1.0	llama3.2	0.25
m84046_230630_233157_s3.bc2052--bc2052.bam	genomic	GRCh38	logic	1.0	llama3.2	0.27
m64043_200316_214923.ccs.bam	genomic	GRCh38	logic	1.0	llama3.2	0.26
ZNF473-BGRSDTLV02-91doxtot_Aligned.sortedByCoord.out.bam	genomic	unknown	logic	0.0	llama3.2	0.34
HG01243vGRCh38_wm_PBCCS.sort.bam	genomic	GRCh38	logic	1.0	llama3.2	0.24
CISD1-BGRSLV03-11_Aligned.sortedByCoord.out.bam	genomic	unknown	logic	0.0	llama3.2	0.28
m84081_231222_081401_s1.fail_reads.bc2026.bam	genomic	GRCh38	logic	0.95	llama3.2	0.25
U2AF1-BGRSDLV04-8dox_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.27
HG03492vGRCh38_wm_PBCCS.sort.bam	genomic	GRCh38			llama3.2	0.24
HG02055vCHM13_20200921_wm_PBCCS.sort.bam	genomic	T2T-CHM13	logic	1.0	llama3.2	0.29
HG01109vCHM13_20200921_wm_PBCCS.sort.bam	genomic	T2T-CHM13	logic	1.0	llama3.2	0.26
HG02723_R10_638.bam	genomic	GRCh38	logic	1.0	llama3.2	0.23
HG00621.paternal.GRCh38_no_alt.bam	genomic	GRCh38	logic	1.0	llama3.2	0.27
ZC3HAV1-BG293LV06-35_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	0.98	llama3.2	0.25
HG02080vGRCh38_wm_PBCCS.sort.bam	genomic	GRCh38	logic	1.0	llama3.2	0.24
G2E3-BGRSDLV02-27dox_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.25
m64055_210512_103416.hifi_reads.bam	genomic	GRCh38	logic	1.0	llama3.2	0.23
NT-BGRSLV02-1_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	0.99	llama3.2	0.27
ZNF706-BGRSDLV04-80dox_Aligned.sortedByCoord.out.bam	genomic	hg19	logic	1.0	llama3.2	0.25
NR5A2-BGRSLV03-39_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.28
HG006vCHM13_20200921_wm_PBCCS.sort.bam	genomic	T2T-CHM13	logic	1.0	llama3.2	0.25
m54329U_211208_005551-bc1008.5mc.hifi_reads.bam	genomic	GRCh38	logic	1.0	llama3.2	0.3
CDCA7-BGRSLV03-10_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.28
HG03516.f1_assembly_v2.hap1.bam	genomic	GRCh38	logic	1.0	llama3.2	0.25
TRNAU1AP-BG293LV03-26_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	0.999	llama3.2	0.21
m84091_230905_202807_s3.fail_reads.bc1015.bam	genomic	GRCh38	logic	1.0	llama3.2	0.26
ZMAT5-BGRSDLV02-66_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.35
HG005vGRCh38_wm_ONT.sort.bam	genomic	GRCh38	logic	1.0	llama3.2	0.23
GM24385_R10_638.bam	genomic	GRCh38	logic	0.5	llama3.2	0.29
USP44-BGRSLV04-63_Aligned.sortedByCoord.out.bam	genomic	unknown	logic	1.0	llama3.2	0.29
NT-BG293LV06-2B_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.25
UBR7-BGRSLV04-61_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.24
07_13_21_R941_HG02074_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	genomic	GRCh38	logic	1.0	llama3.2	0.34
ZFP37-BGRSLV02-38_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.28
TUT1-BGRSLV06-48_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	0.99	llama3.2	0.27
HG00733_R10_reseq.638.bam	genomic	GRCh38	logic		llama3.2	0.24
HG02723vGRCh38_wm_PBCCS.sort.bam	genomic	GRCh38	logic	1.0	llama3.2	0.29
ZNF22-BGRSLV02-35_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.24
MBNL2-BG293LV06-14_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.27
TOB2-BG293LV06-117B_Aligned.sortedByCoord.out.bam	genomic	GRCh38	logic	1.0	llama3.2	0.26
